accountid,name,classification,classification_label
1bcd6f3c-ee94-f111-b8dc-000d3a3408fb,Adams County Layer Farms,126490001,Farm
c20251ed-135a-f111-a825-00224805f705,Allegheny Plateau Farms,126490001,Farm
4e99bc73-195a-f111-a826-00224805f122,Arkansas Foodbank,1,Food Bank
f99a61e1-135a-f111-a825-00224805f705,Atlanta Community Food Bank,1,Food Bank
b7a12e57-145a-f111-a825-00224805f705,Bethesda Mission Community Food Program,1,Food Bank
1dd658e7-135a-f111-a825-00224805f705,Blue Mountain Layer Farms,126490001,Farm
d2feb6cd-135a-f111-a825-00224805f705,Blue Ridge Area Food Bank,1,Food Bank
f26cd086-125a-f111-a825-7ced8d711c90,Capital Area Food Bank,1,Food Bank
f66cd086-125a-f111-a825-7ced8d711c90,Central New York Food Bank,1,Food Bank
669ddb12-ba91-f111-b8dc-000d3a340c29,Central Pennsylvania Food Bank,1,Food Bank
e99a61e1-135a-f111-a825-00224805f705,Central Texas Food Bank,1,Food Bank
858ef6c8-145a-f111-a825-00224805f705,Channel One Regional Food Bank,1,Food Bank
4fba4ac9-1a5a-f111-a826-00224805f122,Chester County Food Bank,1,Food Bank
45c7213c-ee94-f111-b8dc-000d3a340c29,Chester County Protein Farms,126490001,Farm
5307b43e-145a-f111-a825-00224805f705,City Harvest,1,Food Bank
02d658e7-135a-f111-a825-00224805f705,Community Food Bank of Central Alabama,1,Food Bank
59093ecc-195a-f111-a826-00224805f122,Community Food Bank of Southern Arizona,1,Food Bank
d1feb6cd-135a-f111-a825-00224805f705,Community FoodBank of New Jersey,1,Food Bank
fa6cd086-125a-f111-a825-7ced8d711c90,Connecticut Foodshare,1,Food Bank
d672dc69-145a-f111-a825-00224805f705,Cumberland Valley Egg Producers,126490001,Farm
b4cea450-cb0c-ea11-a813-000d3a1b1223,Dare to Care Food Bank,1,Food Bank
41c7213c-ee94-f111-b8dc-000d3a340c29,Dauphin County Farm Supply,126490001,Farm
769a61e1-135a-f111-a825-00224805f705,Delmarva Protein Farms,126490001,Farm
6b7bc8e4-546e-f111-9b47-6045bd484aff,Downtown Daily Bread,1,Food Bank
ca9961e1-135a-f111-a825-00224805f705,Feed More Virginia,1,Food Bank
11866b70-7f6b-f111-9b47-6045bd484aff,Feed More WNY,1,Food Bank
58d858e7-135a-f111-a825-00224805f705,Feeding America Eastern Wisconsin,1,Food Bank
9fc74f02-d469-f111-ab0e-00224805f8ba,Feeding South Florida,1,Food Bank
f86cd086-125a-f111-a825-7ced8d711c90,Feeding Tampa Bay,1,Food Bank
