accountid,territoryid,territory_label,name
1bcd6f3c-ee94-f111-b8dc-000d3a3408fb,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Adams County Layer Farms
c20251ed-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Allegheny Plateau Farms
4e99bc73-195a-f111-a826-00224805f122,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Arkansas Foodbank
f99a61e1-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Atlanta Community Food Bank
b7a12e57-145a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Bethesda Mission Community Food Program
1dd658e7-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Blue Mountain Layer Farms
d2feb6cd-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Blue Ridge Area Food Bank
f26cd086-125a-f111-a825-7ced8d711c90,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Capital Area Food Bank
f66cd086-125a-f111-a825-7ced8d711c90,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Central New York Food Bank
669ddb12-ba91-f111-b8dc-000d3a340c29,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Central Pennsylvania Food Bank
e99a61e1-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Central Texas Food Bank
858ef6c8-145a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Channel One Regional Food Bank
4fba4ac9-1a5a-f111-a826-00224805f122,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Chester County Food Bank
45c7213c-ee94-f111-b8dc-000d3a340c29,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Chester County Protein Farms
5307b43e-145a-f111-a825-00224805f705,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,City Harvest
02d658e7-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Community Food Bank of Central Alabama
59093ecc-195a-f111-a826-00224805f122,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Community Food Bank of Southern Arizona
d1feb6cd-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Community FoodBank of New Jersey
fa6cd086-125a-f111-a825-7ced8d711c90,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Connecticut Foodshare
d672dc69-145a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Cumberland Valley Egg Producers
b4cea450-cb0c-ea11-a813-000d3a1b1223,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Dare to Care Food Bank
41c7213c-ee94-f111-b8dc-000d3a340c29,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Dauphin County Farm Supply
769a61e1-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Delmarva Protein Farms
6b7bc8e4-546e-f111-9b47-6045bd484aff,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Downtown Daily Bread
ca9961e1-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Feed More Virginia
11866b70-7f6b-f111-9b47-6045bd484aff,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Feed More WNY
58d858e7-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Feeding America Eastern Wisconsin
9fc74f02-d469-f111-ab0e-00224805f8ba,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Feeding South Florida
f86cd086-125a-f111-a825-7ced8d711c90,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Feeding Tampa Bay
f64cd9b8-195a-f111-a826-00224805f122,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Feeding Westchester
219b61e1-135a-f111-a825-00224805f705,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Food Bank For New York City
280251ed-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Food Bank for the Heartland
bdc7213c-ee94-f111-b8dc-000d3a340c29,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Food Bank of Central and Eastern North Carolina
54ac148d-b65e-f111-a826-00224805fad6,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Food Bank of Delaware
046dd086-125a-f111-a825-7ced8d711c90,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Food Bank of Eastern Oklahoma
abbe8620-eb5d-f111-a826-00224805f8a7,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Food Bank of Iowa
42d758e7-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Food Bank of Northern Nevada
a6d658e7-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Food Bank of South Jersey
fc1d1f68-1f6c-f111-ab0f-00224805f8ba,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Food Bank of the Rockies
9abebc72-8966-f111-ab0d-00224805fad6,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Food Bank of the Southern Tier
6cd758e7-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Food Gatherers
e34a47d9-df94-f111-b8dc-000d3a340c29,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Food Lifeline
bb0154bd-1a5a-f111-a826-00224805f122,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Foodbank of Southeastern Virginia and the Eastern Shore
dcd574d1-635f-f111-a826-00224805fc48,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Foodlink
aba5c66e-ed5d-f111-a826-00224805f8a7,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Forgotten Harvest
cbd758e7-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Franklin County Protein Farms
