(Do Not Modify) Account,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Account Name,Main Phone,City,Street 1,Street 2,State/Province,County,Country/Region,Business Type
3db6fe37-636a-f111-ab0e-00224805fad6,HafA7r+CvfxlocQ+7ZxHK8SGEk3uisyAEY4JgZbzBnuOvq5DLLJYJkvttPmQW9VtxUbdzaX29JcWLaimhkzzNQ==,2026-08-10 20:50:09,Philabundance,(991) 9554157,Philadelphia,3616 S Galloway Street,,PA,Philadelphia,United States,Non-Profit
034e0f94-b05e-f111-a826-00224805f03e,Er2AxyZpJoLTnBY6cUejnMJH1lXtzKSeK/cBEGkbUOofi29YGANpoDGnU4IuLWUhZGSInl+RGm7tnATeGqf9pA==,2026-08-10 20:39:11,Share Food Program,+1 820 808 8338,Philadelphia,2901 W Hunting Park Avenue,,PA,Philadelphia,United States,Non-Profit
4fba4ac9-1a5a-f111-a826-00224805f122,W4xnW5Mh0POCIrrwhQkoZ6u4If2EZx3eUjCBY0Qbh/4kgOEQpJ7iR8o0cnhJ/+SHkn8Vw+HHidyBRwRmxrXv1A==,2026-08-10 20:49:01,Chester County Food Bank,(369) 3008771,Exton,650 Pennsylvania Drive,,PA,Chester,United States,Non-Profit
e9cc6f3c-ee94-f111-b8dc-000d3a3408fb,74i/J/G79NK0jazIBeJJlJz+tO3mf8GUuLNxq856lA6yvRcSFarXgG604yHhDESpGg+5eFeEoHHx57R26BtXuA==,2026-08-10 20:39:10,Helping Harvest Food Bank,,Reading,117 Morgan Drive,,PA,Berks,United States,Non-Profit
006dd086-125a-f111-a825-7ced8d711c90,YIkPPqupUnRCJ712QwcVFuZyy1GkHaI7wbd/hi+mf8jJxfR8vuFHYEm4To5W9swBjS2tYvt5q4lV11ItDbJPmg==,2026-08-10 20:48:25,York County Food Bank,(770) 5498514,York,254 W Princess Street,,PA,York,United States,Non-Profit
729a61e1-135a-f111-a825-00224805f705,FQX8EgIPUdBDkCgewNqF9/9cXv8hTA0cRk7C5QnTAKn+VA3MPnnWx/XpcAE6TxrNJKnPF6h3Y4+6KEUbiEU+uQ==,2026-08-10 20:49:41,Lancaster County Food Hub,(101) 2643147,Lancaster,812 N Queen Street,,PA,Lancaster,United States,Non-Profit
b7a12e57-145a-f111-a825-00224805f705,FFX4/tulBIbzfsM+eSKC9jby7Iq4kzWSphBBmkL20gaGNSz5ZtFOGFhJgrKD5pYv0gtz0eogcOdcf1JEOCQVfA==,2026-08-10 20:48:25,Bethesda Mission Community Food Program,(901) 2756405,Harrisburg,611 Reily Street,,PA,Dauphin,United States,Non-Profit
6b7bc8e4-546e-f111-9b47-6045bd484aff,6C9ZowvS4JwEsSR6VHdm8KGQGquvKlYg6rOLXMzIpEWnE2AygjsxJfreJhO08hid1b0REuJOLNgYx4duK9t/mQ==,2026-08-10 20:49:01,Downtown Daily Bread,(602) 7636425,Harrisburg,310 N 3rd Street,,PA,Dauphin,United States,Non-Profit
d0feb6cd-135a-f111-a825-00224805f705,VLCuB7EqlctN5TSUPhApL8FzcaYxX7axEyzd2q5TGtR2DagP02h/90VNs25e2mR2rRhPY4WrWXaB/ohFq3kp+g==,2026-08-10 20:49:41,Hershey Food Bank and Community Outreach,(123) 5051581,Hershey,120 E Derry Road,,PA,Dauphin,United States,Non-Profit
5dd558e7-135a-f111-a825-00224805f705,r7l3nToclU6ZM1TUJ1jDT4e+DHIYDEW45b7CY5IAqw7Tz7DYoaIg9Bjk59rPUYhCbuV8fOgu9FTKqM4d4g9Gfg==,2026-08-10 20:49:01,New Hope Ministries,(754) 8766823,Dillsburg,99 W Church Street,,PA,York,United States,Non-Profit
